type,text
"Austin Powers","She's the village bicycle! Everyone's had a ride."
"Austin Powers","I never forget a pussy... cat."
"Austin Powers","There are only two things I can't stand in this world: People who are intolerant of other people's cultures... and the Dutch."
"Austin Powers","You know what's remarkable? That England looks in no way like Southern California."
"Austin Powers","No, don't be sorry, baby. You're right to be suspicious. I shagged her."
"Austin Powers","How do you like to do it? Do you like to wash up first?"
"Austin Powers","Well, you might be a cunning linguist, but I'm a master debater."
"Austin Powers","Name? Austin Danger Powers. Sex? Yes please!"
"Austin Powers","My God, Vanessa's got a fabulous body... I bet she shags like a minx... How do I let them know because of the unfreezing process, I have no inner monologue? I hope I didn't just say that all out loud just now."
"Austin Powers","Only two things scare me and one of them is nuclear war. Carnies. Circus folk. Nomads, you know. Smell like cabbage. Small hands."
"Austin Powers","Pardon me for being rude, it was not me it was my food, it just popped up to say hello, but now it's gone back down below."
"Austin Powers","Well, no offense, but if that is a woman it does look like she was beaten with an ugly stick!"
"Austin Powers","That really hurt! I'm gonna have a lump there, you idiot! Who throws a shoe? Honestly! You fight like a woman!"
"Austin Powers","Wait Vanessa, I can explain. You see, I was looking for Dr. Evil when the Fembots came out and smoke started coming out of their jomblies. So I started to work my mojo, to counter their mojo; we got cross-mojulation, and their heads started exploding."
"Austin Powers","That's fascinating, Vanessa. Listen, why don't we go in the back and shag?"
"Austin Powers","My meat and two veg. My twig and berries. H-ello, lads, are you still awake?"
"Austin Powers","I think you're shagedelic baby! You're switched on! You're smashing!"
"Austin Powers","First, I plan to soil myself. Then I'm going to regroup and come up with a new plan. Any thoughts?"
"Austin Powers","I eat because I am unhappy. I'm unhappy because I eat."
"Austin Powers","The and the 80s? You're not missing anything, believe me. I've looked into it. There's a gas shortage and A Flock of Seagulls. That's about it."
"Austin Powers","I hate you! I hate you! I wish I was never artificially created in a lab!"
"Austin Powers","You know, Dr. Evil, I have always thought you were crazy, but now I can see you're nuts."
"Austin Powers","There's only two things I hate in this world. People who are intolerant of other people's cultures and the Dutch."
"Austin Powers","Well, you make me many things but sleepy's not one of them."
"Austin Powers","No, I mean, literally, HOW could you do it? The man's so fat, the sheer mechanics of it are mind-boggling."
"Austin Powers","Well, of course, you haven't had the pleasure, Rebecca. We just met, baby, yeah."
"Austin Powers","Oh, smashing, groovy, yay capitalism!"
"Austin Powers","Jimi Hendrix deceased, drugs. Janis Joplin deceased, alcohol. Mama Cass deceased, ham sandwich."
"Austin Powers","What we swingers were going against were uptight squares like you whose bag was money and world domination. We were innocent man."
"Austin Powers","No doubt, love, but as long as people are still having promiscuous sex with many anonymous partners without protection while at the same time experimenting with mind-expanding drugs in a consequence-free environment, I'll be sound as a pound!"
"Austin Powers","Well everyone has their own flying car, entire meals come in pill form, and the Earth is run by damn dirty apes."
"Austin Powers","Yeah, baby, yeah."
"Austin Powers","Actually, my name is Austin Powers. Danger is my middle name."
"Austin Powers","So, shall we shag now, or shall we shag later?"
"Austin Powers","Ooo, Behave!"
"Austin Powers","I won't bite... hard."
"Austin Powers","Do I make you horny? Randy? Do I make you horny, baby, yeah, do I?"
"Austin Powers","Judo chop!"
"Austin Powers","I shagged her rotten, baby, yeah!"
"Austin Powers","Well, I vana toilet made out of solid gold, but it's just not in the cards now is it?"
"Austin Powers","Grr, baby! Very grr!"
"Austin Powers","I've lost my mojo."
"Austin Powers","I open-mouth kissed a horse once."
"Austin Powers","I am a sexy beast."
"Austin Powers","You really are a fat bastard!"
"Austin Powers","Dr. Evil's not your son! I am!"
"Austin Powers","Smashing, Basil. A pimp-mobile."
"Austin Powers","I choose love, baby!"
"Austin Powers","Powers by name, powers by reputation."
"Austin Powers","It turns out that Vanessa was a fembot."
"Austin Powers","I love gold."
"Austin Powers","They ARE after my Lucky Charms!"
"Austin Powers","I don't kiss and tell. I shag and brag, baby!"
"Austin Powers","No, this is me in a nutshell: Help! I'm in a nutshell!"
"Austin Powers","You're the diet coke of evil. Just one calorie. Not evil enough."
"Austin Powers","Are those frickin sharks with frickin laser beams attached to their heads?"
"Austin Powers","I'm not saying it's hot, but I'm pretty sure the thermometer reads 'Satan's Balls.'"
"Austin Powers","Personally, before I'm on the job, I like to give my undercarriage a bit of a 'How's-Your-Father.'"
"Austin Powers","I mean look at you. You don't even have a name tag. You've got no chance. Why don't you just fall down?"
"Austin Powers","My father would womanize. He would drink. He would make outrageous claims like he invented the question mark."
"Insult","I was today years old when I realized I didn't like you."
"Insult","Someday you'll go far. And I really hope you stay there."
"Insult","Oops, my bad. I could've sworn I was dealing with an adult."
"Insult","I love what you've done with your hair. How do you get it to come out of your nostrils like that?"
"Insult","Remember that time you were saying that thing I didn't care about? Yeah, that is now."
"Insult","You're the reason God created the middle finger."
"Insult","I'm busy right now, can I ignore you another time?"
"Insult","Oh, you don't like being treated the way you treat me? That must suck."
"Insult","I wish I had a flip phone, so I could slam it shut on this conversation."
"Insult","N'Sync said it best, ""BYE, BYE, BYE!"""
"Insult","I've been called worse things by better men."
"Insult","You're a gray sprinkle on a rainbow cupcake."
"Insult","Your secrets are always safe with me. I never even listen when you tell me them."
"Insult","You bring everyone so much joy! You know, when you leave the room. But, still."
"Insult","How many licks until I get to the interesting part of this conversation?"
"Insult","Keep rolling your eyes, you might eventually find a brain."
"Insult","Your face makes onions cry."
"Insult","Did I invite you to the barbecue? Then why are you all up in my grill?"
"Insult","Our kid must have gotten his brain from you! I still have mine."
"Insult","You have so many gaps in your teeth it looks like your tongue is in jail."
"Insult","If your brain was dynamite, there wouldn't be enough to blow your hat off."
"Insult","You are more disappointing than an unsalted pretzel."
"Insult","It's impossible to underestimate you."
"Insult","Wow, your maker really didn't waste time giving you a personality, huh?"
"Insult","Her teeth were so bad she could eat an apple through a fence."
"Insult","I'll never forget the first time we met. But I'll keep trying."
"Insult","Oh, I'm sorry. Did the middle of my sentence interrupt the beginning of yours?"
"Insult","Hold still. I'm trying to imagine you with personality."
"Insult","I'm not insulting you, I'm describing you."
"Insult","You are the human version of period cramps."
"Insult","You're cute. Like my dog. He also chases his tail for entertainment."
"Insult","You are like a cloud. When you disappear, it's a beautiful day."
"Insult","You have an entire life to be an idiot. Why not take today off?"
"Insult","Your kid is so annoying, he makes his Happy Meal cry."
"Insult","Your face is just fine, but we'll have to put a bag over that personality."
"Insult","I'm not a nerd. I'm just smarter than you."
"Insult","I may love to shop but I will never buy your bull."
"Insult","Child, I've forgotten more than you ever knew."
"Insult","I'm an acquired taste. If you don't like me, acquire some taste."
"Insult","Bye. Hope to see you never."
"Insult","Don't worry, the first 40 years of childhood are always the hardest."
"Insult","If you're going to be two-faced, at least make one of them pretty."
"Insult","The only way my husband would ever get hurt during an activity is if the TV exploded."
"Insult","If you have a problem with me, write the problem on a piece of paper, fold it, and shove it up your ass."
"Insult","Complete this sentence for me: ""I never want to see you ----!"""
"Insult","I thought of you today. It reminded me to take out the trash."
"Insult","You bring everyone so much joy when you leave the room."
"Insult","Did the mental hospital test too many drugs on you today?"
"Insult","OH MY GOD! IT SPEAKS!"
"Insult","Beauty is only skin deep, but ugly goes clean to the bone."
"Insult","I'd like to help you out. Which way did you come in?"
"Insult","I forgot the world revolves around you. My apologies, how silly of me."
"Insult","Light travels faster than sound which is why you seemed bright until you spoke."
"Insult","I'd rather treat my baby's diaper rash than have lunch with you."
"Insult","You look so pretty. Not at all gross, today."
"Insult","I only take you everywhere I go, so I don't have to kiss you goodbye."
"Insult","We were happily married for one month, but unfortunately, we've been married for 10 years."
"Insult","When you look in the mirror, say hi to the clown you see in there for me, would you?"
"Insult","Somewhere out there is a tree tirelessly producing oxygen for you. You owe it an apology."
"Insult","That sounds like a you problem."
"Insult","You have miles to go before you reach mediocre."
"Insult","I see no evil, and I definitely don't hear your evil."
"Insult","I'm just glad that you're stringing words into sentences now."
"Insult","Don't worry about me. Worry about your eyebrows."
"Insult","Mirrors can't talk. Lucky for you, they can't laugh, either."
"Insult","You just might be why the middle finger was invented in the first place."
"Insult","You are proof God has a sense of humor."
"Insult","If I had a face like yours, I would sue my parents."
"Insult","You must have been born on a highway. That's where most accidents happen."
"Insult","Grab a straw, because you suck."
"Insult","You're the reason the gene pool needs a lifeguard."
"Insult","If laughter is the best medicine, your face must be curing the world."
"Insult","I'm glad to see you're not letting education get in the way of your ignorance."
"Insult","If I wanted to kill myself, I would climb to your ego and jump to your IQ."
"Insult","I'd agree with you but then we'd both be wrong."
"Insult","Your only chance of getting laid is to crawl up a chicken butt and wait."
"Insult","Don't be ashamed of who you are. That's your parent's job."
"Insult","I told my therapist about you."
"Insult","Take my lowest priority and put yourself beneath it."
"Insult","If you were an inanimate object, you'd be a participation trophy."
"Insult","Hey, you have something on your chin. No, the 3rd one down."
"Insult","I hope your wife brings a date to your funeral."
"Insult","People like you are the reason God doesn't talk to us anymore."
"Insult","You are a pizza burn on the roof of the world's mouth."
"Insult","If genius skips a generation, your children will be brilliant."
"Insult","You're my favorite person… besides every other person I've ever met."
"Insult","You're about as useful as a screen door on a submarine."
"Insult","I believed in evolution until I met you."
